Id,gratuidade,sentenca
00002868720118150231,False,Extinto
00002870220108151171,True,Extinto
00002871120108150101,False,Nenhuma Sentença
00002887120128150021,False,Extinto
00002892820158152001,True,Improcedente
00002906220158150271,False,Improcedente
00002912620128150021,False,Extinto
00002921920098150311,False,Procedente
00002924420168150191,True,Extinto
00002924820158150201,False,Extinto
00002966420148150381,False,Outros
00002973320128150021,False,Extinto
00002981820128150021,False,Extinto
00002990320128150021,False,Extinto
00002990920148152001,False,Parcialmente
00003000220158150241,False,Outros
00003008520128150021,False,Extinto
00003025520128150021,False,Nenhuma Sentença
00003053720078151071,False,Nenhuma Sentença
00003093320118150231,False,Extinto
00003094120188150731,False,Acordo
00003106620138150451,False,Nenhuma Sentença
00003121820088152001,False,Improcedente
00003139620158150371,False,Parcialmente
00003140620168150611,True,Parcialmente
00003168420108152001,False,Extinto
00003168720148150241,False,Nenhuma Sentença
00003198620158150021,False,Improcedente
00003251720148150381,False,Nenhuma Sentença
00003268320128150021,False,Extinto
00003276820128150021,False,Extinto
00003299720038150071,False,Extinto
00003336820158150151,False,Acordo
00003347120108150331,False,Nenhuma Sentença
00003384320158150781,False,Parcialmente
00003393220078150741,False,Nenhuma Sentença
00003420820128150451,False,Outros
00003458420128150831,False,Nenhuma Sentença
00003473520148150071,False,Extinto
00003477120168150101,False,Improcedente
00003477720158150951,False,Improcedente
00003485320168150781,False,Improcedente
00003499620118150301,False,Improcedente
00003515720168150021,False,Procedente
00003525820058150011,False,Procedente
00003527220118150391,False,Outros
00003549020128150881,False,Improcedente
00003570420168150041,False,Acordo
00003614820098150021,False,Extinto
00003638020158150191,True,Extinto
00003661520118150631,False,Parcialmente
00003688120158150101,False,Improcedente
00003692120178152001,False,Extinto
00003693020068150021,False,Extinto
00003693920138150941,False,Parcialmente
00003717720138150401,False,Acordo
00003733220078150571,False,Nenhuma Sentença
00003746620108150941,False,Improcedente
00003752720168150881,False,Improcedente
00003764520088150411,False,Outros
00003771820118150381,False,Extinto
00003773520168150351,False,Procedente
00003808420168152001,False,Extinto
00003813420148150451,False,Nenhuma Sentença
00003816020018150331,False,Extinto
00003828220068150941,False,Extinto
00003849120158150341,False,Nenhuma Sentença
00003911520158150881,False,Procedente
00003948120158150941,False,Improcedente
00003965120108150351,False,Nenhuma Sentença
00003965420158150261,False,Outros
00003972620168150351,False,Extinto
00003975920168150631,False,Procedente
00003976020088150301,False,Nenhuma Sentença
00003996120148152001,False,Nenhuma Sentença
00004003420138150141,False,Improcedente
00004010920118150361,False,Nenhuma Sentença
00004017120118150211,False,Parcialmente
00004024720108150581,True,Outros
00004028620158150091,True,Improcedente
00004061120138150151,False,Nenhuma Sentença
00004065320148152001,False,Nenhuma Sentença
00004067320128150271,False,Parcialmente
00004084420168150581,True,Parcialmente
00004101420148150151,False,Improcedente
00004139820138150281,False,Parcialmente
00004192120048150411,False,Nenhuma Sentença
00004195920148150091,True,Extinto
00004217320098150521,False,Procedente
00004222920128150141,False,Nenhuma Sentença
00004234220128150261,False,Nenhuma Sentença
00004234320098150521,False,Procedente
00004234920138150021,False,Outros
00004242820098150521,False,Procedente
00004251520148150981,False,Improcedente
00004267020168150741,False,Extinto
00004278020098150521,False,Procedente
00004299020148152003,True,Nenhuma Sentença
00004314920138150951,False,Improcedente
00004316320148150741,False,Nenhuma Sentença
00004341320048150371,False,Improcedente
00004374420128152001,False,Outros
00004394220138150881,False,Nenhuma Sentença
00004416120168150281,False,Improcedente
00004428220148150421,True,Outros
00004440420128151171,False,Nenhuma Sentença
00004462920128150021,False,Nenhuma Sentença
00004475420138152001,False,Procedente
00004476920078150221,False,Nenhuma Sentença
00004515120128150021,False,Extinto
00004523620128150021,False,Extinto
00004524220138150331,False,Extinto
00004532720148152001,False,Extinto
00004545520158150391,False,Nenhuma Sentença
00004547020038150231,False,Extinto
00004563120148150271,False,Extinto
00004564020148150171,False,Improcedente
00004581520158152001,False,Improcedente
00004585320138150071,False,Outros
00004618720138150271,False,Improcedente
00004624720108150281,False,Nenhuma Sentença
00004673620138150161,False,Improcedente
00004707820118150381,False,Outros
00004712520148150101,False,Improcedente
00004734319988150331,False,Nenhuma Sentença
00004762420178150301,False,Improcedente
00004773120098152001,False,Acordo
00004800420118150291,False,Extinto
00004801420168150231,False,Outros
00004834520158150411,False,Extinto
00004844720148152001,True,Improcedente
00004848920128150781,True,Nenhuma Sentença
00004855920168151161,False,Outros
00004860720128150281,True,Procedente
00004879220138150301,False,Extinto
00004887720138150301,False,Extinto
00004912020168150271,False,Parcialmente
00004922220068150411,False,Outros
00004987020088150601,False,Nenhuma Sentença
00004994820068150141,False,Extinto
00005007920168150271,False,Parcialmente
00005010420098151211,False,Extinto
00005012620158150101,False,Extinto
00005013220138150251,False,Parcialmente
00005065020148150241,False,Nenhuma Sentença
00005078020138150011,False,Procedente
00005078420148150451,False,Nenhuma Sentença
00005087820108150461,False,Improcedente
00005107120138150581,True,Parcialmente
00005114520158150271,True,Acordo
00005125920138150381,False,Improcedente
00005143020118150371,False,Improcedente
00005151920148150271,False,Procedente
00005181520098150411,False,Acordo
00005216820128150021,False,Nenhuma Sentença
00005217320098150021,False,Outros
00005277620158150601,False,Extinto
00005304020068150021,False,Extinto
00005321620148150381,False,Parcialmente
00005322820118150411,False,Improcedente
00005336720058150461,False,Outros
00005337020118150101,False,Procedente
00005346520168150041,False,Improcedente
00005398120038152001,False,Acordo
00005409020148150381,False,Acordo
00005413620118150331,False,Extinto
00005421020158150451,False,Improcedente
00005427220118150411,False,Parcialmente
00005452720118150411,False,Parcialmente
00005472720158150291,False,Nenhuma Sentença
00005525820158151161,True,Outros
00005526420148150071,True,Improcedente
00005528220128150411,False,Nenhuma Sentença
00005530520108150131,False,Improcedente
00005544520128150381,False,Nenhuma Sentença
00005558520148150631,False,Parcialmente
00005587220158150221,False,Extinto
00005606420098150411,False,Nenhuma Sentença
00005621920168150951,False,Improcedente
00005627220158150201,False,Procedente
00005630620148150391,False,Extinto
00005681920158150221,False,Extinto
00005706820158150421,True,Outros
00005737220158150631,False,Outros
00005769620058150301,False,Nenhuma Sentença
00005782320148150181,False,Improcedente
00005801920158150161,False,Improcedente
00005813920168150041,False,Extinto
00005842820158150041,False,Improcedente
00005869020148150151,False,Extinto
00005875420148152001,True,Procedente
00005875520138150751,False,Extinto
00005876920118150381,False,Outros
00005974420158150391,False,Procedente
00005979820148152001,False,Procedente
00005985220158150351,False,Nenhuma Sentença
00006013220168150881,False,Improcedente
00006038020148150231,False,Parcialmente
00006055220148150101,False,Extinto
00006061520168150021,False,Outros
00006076020118150381,False,Parcialmente
00006085020128150271,False,Procedente
00006088720138150021,False,Improcedente
00006090920128150021,False,Extinto
00006093820128150561,False,Procedente
00006103320088150021,False,Outros
00006109120128150021,False,Extinto
00006119720118150381,False,Improcedente
00006120320088150021,False,Extinto
00006124220148150231,False,Parcialmente
00006137820168150741,False,Extinto
00006139220158150101,False,Nenhuma Sentença
00006141820158150541,False,Acordo
00006147220148150211,False,Improcedente
00006152520078150301,False,Nenhuma Sentença
00006156420158150941,False,Parcialmente
00006171820168150741,False,Extinto
00006197120138150521,False,Parcialmente
00006213920148150381,False,Outros
00006246520088150781,False,Improcedente
00006249420158150401,False,Outros
00006252020168150571,False,Procedente
00006276220168150741,False,Improcedente
00006282420168150781,False,Parcialmente
00006300320148150251,False,Improcedente
00006307120138150951,False,Improcedente
00006316120168150301,False,Extinto
00006320520168150541,False,Parcialmente
00006332320148150391,False,Improcedente
00006333120168150301,False,Improcedente
00006340320148150231,False,Extinto
00006349520118150881,False,Extinto
00006351520118150741,False,Nenhuma Sentença
00006355220108152001,False,Extinto
00006370220148150281,False,Acordo
00006423520158150751,False,Improcedente
00006458020148150021,False,Nenhuma Sentença
00006476320108150741,False,Extinto
00006509820158150011,False,Procedente
00006524120168150041,False,Improcedente
00006538520178150301,False,Procedente
00006554120138150351,False,Improcedente
00006556220118150981,False,Nenhuma Sentença
00006567120158150281,True,Nenhuma Sentença
00006585320118150581,True,Outros
00006592520138150401,False,Nenhuma Sentença
00006612520138150391,False,Parcialmente
